Product,Instrument,Qty,Avg,LTP,P&L,Chg
NRML,BANKNIFTY AUG 56000 PE NFO,35,1250.00,1460.00,7350.00,16.80
NRML,BANKNIFTY AUG 57000 CE NFO,-35,1425.00,1075.25,12241.25,-24.54
NRML,BANKNIFTY AUG 57000 PE NFO,-35,1450.00,2000.00,-19250.00,37.93
NRML,BANKNIFTY AUG 58000 CE NFO,35,1225.00,674.20,-19278.00,-44.96
NRML,BANKNIFTY AUG FUT NFO,70,56991.00,56116.60,-61208.00,-1.53
NRML,BANKNIFTY JUL 55000 PE NFO,-35,900.70,852.00,1704.50,-5.41
NRML,BANKNIFTY JUL 55500 PE NFO,70,1073.38,1022.15,-3585.75,-4.77
NRML,BANKNIFTY JUL 56000 CE NFO,35,1148.90,1133.00,-556.50,-1.38
NRML,BANKNIFTY JUL 56500 CE NFO,-35,915.10,909.00,213.50,-0.67
NRML,BANKNIFTY JUL 57000 PE NFO,-35,1212.05,1829.10,-21596.75,50.91
NRML,BANKNIFTY JUL 59000 CE NFO,70,344.00,220.00,-8680.00,-36.05
NRML,BANKNIFTY JUL FUT NFO,-35,55650.00,55850.00,-7000.00,0.36
NRML,BANKNIFTY JUN 55500 PE NFO,60,639.65,564.35,-4518.00,-11.77
NRML,BANKNIFTY JUN 56000 CE NFO,-30,910.80,461.55,13477.50,-49.32
NRML,BANKNIFTY JUN 56500 PE NFO,-30,1248.95,1126.35,3678.00,-9.82
NRML,BANKNIFTY JUN 58000 CE NFO,60,325.65,59.00,-15999.00,-81.88
NRML,BSE JUL 2400 PE NFO,-375,42.00,61.80,-7425.00,47.14
NRML,BSE JUN 2450 PE NFO,375,24.20,20.50,-1387.50,-15.29
NRML,NIFTY 19th w JUN 24500 PE NFO,75,144.00,107.00,-2775.00,-25.69
NRML,NIFTY 19th w JUN 24650 PE NFO,75,157.35,158.65,97.50,0.83
NRML,NIFTY 19th w JUN 24750 CE NFO,75,160.70,152.00,-652.50,-5.41
NRML,NIFTY 19th w JUN 25200 PE NFO,-75,160.45,526.00,-27416.25,227.83
NRML,NIFTY AUG 24000 PE NFO,75,303.00,302.80,-15.00,-0.07
NRML,NIFTY AUG 24500 PE NFO,75,454.85,445.05,-735.00,-2.15
NRML,NIFTY AUG 25500 CE NFO,-75,387.00,403.20,-1215.00,4.19
NRML,NIFTY AUG FUT NFO,150,25447.50,24993.90,-68040.00,-1.78
NRML,NIFTY JUL 24000 PE NFO,75,146.05,216.20,5261.25,48.03
NRML,NIFTY JUL 24700 CE NFO,-75,776.95,618.35,11895.00,-20.41
NRML,NIFTY JUL 25000 CE NFO,75,850.00,447.50,-30187.50,-47.35
NRML,NIFTY JUL 25500 CE NFO,75,555.00,239.00,-23700.00,-56.94
NRML,NIFTY JUL 26000 CE NFO,-75,199.65,111.00,6648.75,-44.40
NRML,NIFTY JUL FUT NFO,-75,24642.00,24871.70,-17227.50,0.93
NRML,NIFTY JUN 23900 PE NFO,75,528.95,56.55,-35430.00,-89.31
NRML,NIFTY JUN 24700 CE NFO,-75,279.45,292.55,-982.50,4.69
NRML,NIFTY JUN 25100 PE NFO,-75,224.85,467.55,-18202.50,107.94
NRML,NIFTY JUN 26000 CE NFO,75,40.90,9.85,-2328.75,-75.92 